feature,importance
amount_user_top25pct,0.00046960718
amount_vs_global_mean,0.00046793174
browser_Opera,0.00045358963
currency_EUR,0.0004439044
device_type_mobile,0.000432473
device_type_desktop,0.0004241037
is_mobile,0.00041480616
browser_Firefox,0.00038071498
new_user_x_high_amount,0.000367003
is_month_end,0.0003664112
suspicious_new_user_high_amount,0.00035333345
quarter,0.00033264776
is_weekend,0.0003095139
is_amount_spike_20x,0.00024299446
is_established_user,0.00019489869
amount_spike_2std,0.0001582509
amount_is_outlier,0.00013743088
is_new_user_high_value,3.2156266e-05
is_first_txn_high_amount,0.0
new_user_x_country_mismatch,0.0
country_is_high_fraud,0.0
is_burst_txn,0.0
is_rapid_txn,0.0
amount_spike_3std,0.0
is_just_below_1000,0.0
amount_zscore_global,0.0
new_user_x_night,0.0
is_new_user_7_30,0.0
is_high_risk_channel,0.0
user_device_clustering,0.0
is_suspicious_ip,0.0
new_user_x_high_risk_country,0.0
